    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Mandolin (16 Frets) 96Hz, 293.7Hz, 440Hz, 659.3Hz

-15 Frets

    4              3              2              1

15  D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502
16  E4   164.8138  B6   493.8833  F#6  739.9888  C#7  1108.731

-6 Frets

    4              3              2              1

0   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
1   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
2   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
3   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
4   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
5   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
6   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
7   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
8   A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
9   Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
10  B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
11  C4   130.8128  G5   391.9954  D6   587.3295  A7   880
12  C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
13  D4   146.8324  A6   440       E6   659.2551  B7   987.7666
14  D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502
15  E4   164.8138  B6   493.8833  F#6  739.9888  C#7  1108.731
16  F4   174.6141  C6   523.2511  G6   783.9909  D7   1174.659

-5 Frets

    4              3              2              1

0   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
1   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
2   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
3   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
4   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
5   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
6   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
7   A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
8   Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
9   B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
10  C4   130.8128  G5   391.9954  D6   587.3295  A7   880
11  C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
12  D4   146.8324  A6   440       E6   659.2551  B7   987.7666
13  D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502
14  E4   164.8138  B6   493.8833  F#6  739.9888  C#7  1108.731
15  F4   174.6141  C6   523.2511  G6   783.9909  D7   1174.659
16  F#4  184.9972  C#6  554.3653  G#6  830.6094  D#7  1244.508

-4 Frets

    4              3              2              1

0   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
1   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
2   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
3   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
4   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
5   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
6   A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
7   Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
8   B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
9   C4   130.8128  G5   391.9954  D6   587.3295  A7   880
10  C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
11  D4   146.8324  A6   440       E6   659.2551  B7   987.7666
12  D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502
13  E4   164.8138  B6   493.8833  F#6  739.9888  C#7  1108.731
14  F4   174.6141  C6   523.2511  G6   783.9909  D7   1174.659
15  F#4  184.9972  C#6  554.3653  G#6  830.6094  D#7  1244.508
16  G4   195.9977  D6   587.3295  A7   880       E7   1318.51

-3 Frets

    4              3              2              1

0   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
1   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
2   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
3   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
4   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
5   A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
6   Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
7   B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
8   C4   130.8128  G5   391.9954  D6   587.3295  A7   880
9   C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
10  D4   146.8324  A6   440       E6   659.2551  B7   987.7666
11  D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502
12  E4   164.8138  B6   493.8833  F#6  739.9888  C#7  1108.731
13  F4   174.6141  C6   523.2511  G6   783.9909  D7   1174.659
14  F#4  184.9972  C#6  554.3653  G#6  830.6094  D#7  1244.508
15  G4   195.9977  D6   587.3295  A7   880       E7   1318.51
16  G#4  207.6523  D#6  622.254   Bb7  932.3275  F7   1396.913

-2 Frets

    4              3              2              1

0   F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
1   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
2   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
