Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com
  
Banjo (5-string)

-12 Frets

    5               4               3               2               1

4   A4   110        E4   164.8138   A5   220        C#5  277.1826   E5   329.6276
5   Bb4  116.5409   F4   174.6141   Bb5  233.0819   D5   293.6648   F5   349.2282
6   B4   123.4708   F#4  184.9972   B5   246.9417   D#5  311.127    F#5  369.9944
7   C4   130.8128   G4   195.9977   C5   261.6256   E5   329.6276   G5   391.9954
8   C#4  138.5913   G#4  207.6523   C#5  277.1826   F5   349.2282   G#5  415.3047
9   D4   146.8324   A5   220        D5   293.6648   F#5  369.9944   A6   440
10   D#4  155.5635   Bb5  233.0819   D#5  311.127    G5   391.9954   Bb6  466.1638
11  E4   164.8138   B5   246.9417   E5   329.6276   G#5  415.3047   B6   493.8833
12  F4   174.6141   C5   261.6256   F5   349.2282   A6   440        C6   523.2511
13  F#4  184.9972   C#5  277.1826   F#5  369.9944   Bb6  466.1638   C#6  554.3653
14  G4   195.9977   D5   293.6648   G5   391.9954   B6   493.8833   D6   587.3295
15  G#4  207.6523   D#5  311.127    G#5  415.3047   C6   523.2511   D#6  622.254
16  A5   220        E5   329.6276   A6   440        C#6  554.3653   E6   659.2551
17  Bb5  233.0819   F5   349.2282   Bb6  466.1638   D6   587.3295   F6   698.4565
18  B5   246.9417   F#5  369.9944   B6   493.8833   D#6  622.254    F#4  739.9888
19  C5   261.6256   G5   391.9954   C6   523.2511   E6   659.2551   G4   783.9909

-1 Fret

    5               4               3               2               1

0   F#3  92.49861   C#4  138.5913   F#4  184.9972   Bb5  233.0819   C#5  277.1826
1   G3   97.99886   D4   146.8324   G4   195.9977   B5   246.9417   D5   293.6648
2   G#3  103.8262   D#4  155.5635   G#4  207.6523   C5   261.6256   D#5  311.127
3   A4   110        E4   164.8138   A5   220        C#5  277.1826   E5   329.6276
4   Bb4  116.5409   F4   174.6141   Bb5  233.0819   D5   293.6648   F5   349.2282
5   B4   123.4708   F#4  184.9972   B5   246.9417   D#5  311.127    F#5  369.9944
6   C4   130.8128   G4   195.9977   C5   261.6256   E5   329.6276   G5   391.9954
7   C#4  138.5913   G#4  207.6523   C#5  277.1826   F5   349.2282   G#5  415.3047
8   D4   146.8324   A5   220        D5   293.6648   F#5  369.9944   A6   440
9   D#4  155.5635   Bb5  233.0819   D#5  311.127    G5   391.9954   Bb6  466.1638
10  E4   164.8138   B5   246.9417   E5   329.6276   G#5  415.3047   B6   493.8833
11  F4   174.6141   C5   261.6256   F5   349.2282   A6   440        C6   523.2511
12  F#4  184.9972   C#5  277.1826   F#5  369.9944   Bb6  466.1638   C#6  554.3653
